race,strength,weakness
Canydal,"Feito para caçar, Ao fazer um teste de Percepção que utilize, Olfato, Audição ou Paladar, gire dois dados e pegue o maior.","Um instinto primitivo incontrolável, toda vez que ver um osso ou um animal pequeno que voa, deve girar um teste de Concentração para não ir atrás (Isso também ocorre contra inimigos esqueletos)."
Felicato,"Andarilhos de árvores e telhados, para testes de Escalar e Equilibrar, gire dois dados e pegue o maior.","Não joguem água por favor, ao terem mais da metade do corpo molhado, perdem 5 PE. Não conta se for um banho ou mergulho controlado."
Rhoedrus,"Salve-se quem puder! Rhoedrus estão acostumados a serem presas, ao serem pegos Desprevenidos ou estiverem abaixo da metade do PV, Rhoedrus ganham uma Reação apenas para se Esconder *Morcego: Caso queira um estilo de jogo diferentes, Morcegos possuem Voo de 5 Metros, ao mesmo tempo quando expostos a alta luz, ficam Cegos.","Ser pequeno também tem suas desvantagens, Rhoedrus tem -3 espaços de Inventario"
Ungulario,"É tudo sobre a Jornada, Ungularios ganham +3 metros de movimentação. Sem ofensas, como Burros de Carga, Ungularios não são afetados por carregar Objetos pesados.","Eu não fui feito pra isso! Testes para Escalar e Esgueirar, gire dois dados e pegue o menor."
Anfiburus,"Tudo de mais estranho da natureza está aqui. Anfiburus possuem Pele Mucosa, isso significa que podem grudar em Paredes e se locomover nelas, Anfiburus também possuem uma Língua Grande que se estende até 5 metros, ela não pode usar armas, mas pode empurrar, puxar ou segurar Itens Leves, Itens médios e pesados, requerem um Teste de Força. Anfiburus podem respirar embaixo da água.","Anfiburus precisam se hidratar pelo menos duas vezes por dia. Seja bebendo água ou tomando um banho, caso fiquem desidratados (como por Não entrar em contato com água, tocar no sal ou ficar muito tempo no calor) eles ficam Fracos *Você gostaria de ser um Ornitorrinco? Essa é a raça que melhor se encaixa com eles mecanicamente"
Insectoide,"Escolha 2 abaixo: • Quatro Braços: Você tem um par a mais de braços funcionais, eles podem usar itens, armas e lançar Feitiços (alternativamente, você pode ter vários braços eles só não funcionam) • Asas: Você tem Voo de 5 metros. • Veneno: Você aplica Veneno por 2 rodadas com um Ataque de suas presas/ferrão. • Esgueiro: Você pode andar nas paredes. • Espinhento: Você possui uma Arma Natural que causa de dano base 1d4 e crítico 1d6. • Couraça: Você recebe -2 de dano de Impacto. • Camuflagem: Você gira dois dados e pega o maior no teste de Furtividade • Tecelã: A Cada hora você produz de si mesmo 5 Metros de Corda (Como Teia ou Seda) você pode ter até 30 metros acumulados.",“Pisa logo nisso!” Sempre que chega a 0 PV também fica Gravemente Ferido.
Megafauno,"Mais que uma Tonelada. Megafaunos não são afetados por efeitos de Empurrar (exceto quando a Força é Enorme), caso um inimigo queira Derrubar ou Agarrar um MegaFauno, ele gira dois dados e pega o menor.",Muralhas não são Móveis. Megafaunos tem -2 de movimentação padrão e ao Correr aumentam a distância em apenas 3 metros.
Avipino,"Olhos Vigilantes, Avipinos enxergam a longas distâncias e conseguem fazer o Teste de Analisar de longe, caso esteja perto, detectam detalhes minuciosos. Escolha uma das Opções: • Voo 20 metros • Corrida +5 metros, Salto Dobro de Altura, Ultrapassa espaços ocupados sem teste","Ossos Ocos, Avipinos tem todas as suas movimentações reduzidas a 3 metros quando estão Exaustos ou Sobrepesos."
Simiosapien,"Versatilidade é minha paixão, Simiosapiens possuem mãos no lugar de pés, isso permite o uso de Itens com os pés, a Capacidade de se agarrar e pendurar podendo utilizar itens. Você já viu Tarzan? Simiosapiens ao testar para Acrobacia giram dois testes e pegam o maior.","O que é meu, não é seu. Simiosapiens não dividem itens, seja o que for, vão proteger até o fim, caso um Simiosapien tenha um item roubado ou quebrado ele vai tentar nocautear ou matar o culpado sem pensar (Teste de Mente Difícil resiste temporariamente)"
Sirênico,"Como pode um peixe vivo viver fora de água fria? Sirênicos tem respiração em Baixo da água, sua movimentação aumenta +3 metros nadando ou mergulhando. E tomam - 3 dano de Frio.","Sirênicos devem entrar em contato com água duas vezes ao dia, caso não faça diminui 5 PE do total até que se hidrate."
Arbóreo,"Louvem o Sol! Desde que Arbóreos se hidratem uma vez ao dia não sofrem efeitos de Fome, desde de que eles peguem pelo menos 6 a 8 horas de Sol não sofrem efeitos de Cansaço. Arbóreos podem Regenerar partes do Corpo com facilidade, até mesmo se tiverem apenas a cabeça. Arbóreos recuperam 2 PV a cada duas horas se não estiverem Queimando (Pág. 242)",Não faça isso em casa. Arbóreos tomam o Dobro de Dano de Fogo.
Slime,"Geleia Viva, Slimes podem alterar sua forma quase livremente, diminuir de tamanho (reduz 1 PV máximo a cada 20 cm diminuído) ou aumentar, (aumenta 1 PV máximo a cada 20cm, máximo 5) no entanto eles precisam consumir matéria orgânica pra aumentar. Slimes passam automaticamente em testes para se esgueirar desde de que ele caiba no Lugar Slimes podem Agarrar entrando em contato com o inimigo (Teste de Ataque) ou o Engolindo completamente (Gastando um Turno Inteiro).","Slimes não podem usar armaduras e roupas convencionais. Slimes devem consumir matéria orgânica a cada 12 horas, ou vão diminuir de tamanho com os efeitos citados anteriormente."
Golenideo,"Vida vinda da Pedra. Golenideos são imunes a Fome, Sangrando e Venenos. Golenideos tomam -2 dano de corte e não são afetados por corte.","Mas a Pedra foi feita pra ser viva? Golenideos não são afetados por Cura vinda de fontes Mundanas como alimentos ou cuidado médico. Eles também não podem receber cura Interna, já que são sólidos, no entanto podem ser consertados com os materiais e equipamentos certos (Teste de Fabricação +5 PV). Golenideos não podem ser carregados por aliados normalmente."
Anjelis,"Entre o céu e a terra. Anjelis possuem Voo de 15 metros, esse voo não pode ser realizado em locais apertados. Escolha qual Anjelis você será e pegue seu próximo Benefício: CODEX – Anjelis comuns e Iluminados, Anjelis possuem um Brilho próprio que ilumina um raio de 5 metros, Seja guiado pela Luz, ao fazer um Teste de Vontade, gire dois dados e pegue o Maior CAÍDO – Anjelis sombrios, quase uma assombração, inimigos apenas te atacam se estiver sozinho ou se você atacar primeiro. Para o Teste de Intuição gire dois dados e pegue o maior.","Anjelis são facilmente detectáveis, Anjelis só podem ser Furtivos se não estiverem voando ou Correndo, precisam estar lentos (-3 metros movimento)."
Diabrante,"Coração com uma Paixão Ardente. Diabrantes tem 3 de Resistência a Dano de Fogo. “Eu já vivi Pior” Diabrantes são bem Espinhentos, Chifres e Cauda são uma vantagem. Ataques Corpo a Corpo e Ações de Luta causam +2 de dano.","Não é bem vindo Aqui. Escolha um entre os seguintes testes: Encanto, Negociação ou Intimidação para girar dois dados e pegar o menor."
Esqueleto,"Esqueletos são Imunes a: Sangrando, Fome e Venenos. Bem vindo a Não Vida: Caso chegue a 0 PV ou Morra, seu corpo vai lentamente se refazer, juntando seus ossos no lugar. Quanto mais feridos, mais demora sendo 6 horas a cada 25% do corpo perdido (Ex: Um braço demora 3 horas, as pernas demora 12 horas, Ficar só o Crânio demora 24 horas) Você deve agora Escolher 1 Benefício de uma raça anterior a essa, excluindo: Arbóreo, Slime, Golenideo e Autômato.",Esqueletos não são afetados por Comida nem curas convencionais Escolha 1 Fraqueza da raça que era quando Vivo. No caso de Humano: Você tem -2 espaços de Inventário No caso de Elfo: Recebe +3 de Dano de Impacto
Vampiro,"O Mestre odeia essa raça super quebrada, só dizendo. Escolha 2 dos Benefícios Abaixo e 1 de uma Raça Anterior a essa, excluindo: Slime, Golenideo, Autômato, Esqueleto. • Testamento – Seus anos de Experiência te Proporcionam +1 Conhecimento • Mania de Morcego – Você possui uma Forma de Morcego (Voo 10 metros, Visão no Escuro) • Hipnose – Por 3 PE você pode tentar Hipnotizar alguém contra um Teste de Mente da pessoa, ela realiza 1 Tarefa sem ser machucar a si mesmo. • Noturno – Caso tenha se Alimentado não precisa dormir para Descansar. • Traumatizado – Você tem +3 Pontos de Sanidade • Post-Mortem: Você tem o Dobro de Dinheiro Inicial.","Impuro, Vampiros recebem +3 de Dano Sagrado. E ficam Vulnerável 2 (Pág. 242) quando expostos ao sol Um Vampiro deve consumir Sangue ou Carne de um Ser ainda Vivo todo dia, ou Perderá 2 PV por hora. O Sangue Consumido conta como uma Comida Média."
Zumbi,"Zumbis são imunes a: Cansaço. Vai precisar de mais do que isso pra fazer eu cair, quando o PV chega a 0, Zumbis utilizam PE no lugar, todo dano vai para PE e quando chega a 0, fica Nocauteado. Você deve agora Escolher 1 Benefício de uma raça anterior a essa, excluindo: Slime, Golenideo e Autômato, Esqueleto, Vampiro.","Passa um Perfume cara, Zumbis exalam um Odor Forte, inimigos podem te rastrear pelo Olfato (Considerado Teste Fácil) e NPCs podem evitar contato (Teste de Carisma para começar a conversar) Os principais NPCs que evitam são os que se importam com o Cheiro. Um Zumbi tem -1 Ponto de Fome (Veja Clima Extremo: Calor)"
